,price_log,age_log,mileage_log,model,model_ref_price_log,origin,origin_multiplier,province_clean,province_scoli
8318,8.83200393125627,2.9444389791664403,11.512925464970229,Wave,9.975342989636557,Việt Nam,1,TP. Hồ Chí Minh,98.44
8320,9.457200449907708,2.8903717578961645,10.596634733096073,Future,10.371614421769003,Nhật Bản,3,TP. Hồ Chí Minh,98.44
8321,8.45531778769815,2.70805020110221,9.210340371976184,Lead,10.677984278792396,Việt Nam,1,TP. Hồ Chí Minh,98.44
8322,9.648595302907339,1.9459101490553132,10.596634733096073,Liberty,10.975071168816319,Nước khác,1,TP. Hồ Chí Minh,98.44
8323,11.198214720130528,2.70805020110221,12.611537753638338,SH,11.6952282715884,Việt Nam,1,TP. Hồ Chí Minh,98.44
8325,10.06475570013225,1.3862943611198906,10.165851817003619,Vision,10.451319901931214,Việt Nam,1,TP. Hồ Chí Minh,98.44
8327,10.021270588192511,2.833213344056216,13.017002861746503,Future,10.371614421769003,Nhật Bản,3,TP. Hồ Chí Minh,98.44
8328,9.740968623038354,1.3862943611198906,10.165851817003619,Winner X,10.786428304728728,Việt Nam,1,TP. Hồ Chí Minh,98.44
8329,11.362102575235644,1.0986122886681098,10.043249494911286,SH,11.6952282715884,Việt Nam,1,TP. Hồ Chí Minh,98.44
8330,9.047821442478408,2.5649493574615367,10.819778284410283,Sirius,9.934743942186682,Nhật Bản,3,Đà Nẵng,93.51
8331,9.392661928770137,2.4849066497880004,11.141861783579396,Future,10.371614421769003,Việt Nam,1,Hà Nội,100.0
